question,entity,time,answer
Which position did David Maclean hold right after March 1992?,David Maclean,1992-03,Member of the 51st Parliament of the United Kingdom
Which position did David Maclean hold right after May 1993?,David Maclean,1993-05,Under-Secretary of State for the Home Department
Which position did David Maclean hold right after April 2010?,David Maclean,2010-04,Member of the House of Lords
Where was Alexander Grothendieck educated right after January 1948?,Alexander Grothendieck,1948-01,École normale supérieure  (Paris)
Where was Alexander Grothendieck educated right after January 1949?,Alexander Grothendieck,1949-01,Nancy-Université
Who was the head of Mende right after January 1928?,Mende,1928-01,Henri Trémolet de Villers
Who was the head of Mende right after January 1977?,Mende,1977-01,Jean-Jacques Delmas
Which team did Joe Lievesley play for right after January 1915?,Joe Lievesley,1915-01,Chesterfield F.C.
Which employer did Rudy Wijnands work for right after August 1999?,Rudy Wijnands,1999-08,Massachusetts Institute of Technology
Which employer did Rudy Wijnands work for right after August 2002?,Rudy Wijnands,2002-08,University of St Andrews
Which political party did Jacques Le Nay belong to right after January 2013?,Jacques Le Nay,2013-01,Union of Democrats and Independents
Who was the chair of International Tribunal for the Law of the Sea right after January 2002?,International Tribunal for the Law of the Sea,2002-01,Rüdiger Wolfrum
Who was the chair of International Tribunal for the Law of the Sea right after January 2008?,International Tribunal for the Law of the Sea,2008-01,José Luís Jesus
Who was the chair of International Tribunal for the Law of the Sea right after January 2011?,International Tribunal for the Law of the Sea,2011-01,Shunji Yanai
Which employer did Kurt O. Friedrichs work for right after January 1931?,Kurt O. Friedrichs,1931-01,Technical University of Braunschweig
Which position did Ove Ljung hold right after January 1960?,Ove Ljung,1960-01,regiment commander
Which position did Ove Ljung hold right after June 1968?,Ove Ljung,1968-06,Commander East Military Area
Which position did John Grogan hold right after May 2001?,John Grogan,2001-05,Member of the 53rd Parliament of the United Kingdom
Which position did John Grogan hold right after April 2005?,John Grogan,2005-04,Member of the 54th Parliament of the United Kingdom
Which position did John Grogan hold right after April 2010?,John Grogan,2010-04,Member of the 57th Parliament of the United Kingdom
Who was the head of Liège right after January 1990?,Liège,1990-01,Henri Schlitz
Who was the head of Liège right after January 1995?,Liège,1995-01,Jean-Maurice Dehousse
Which team did Gerry Hitchens play for right after January 1955?,Gerry Hitchens,1955-01,Cardiff City F.C.
Which team did Gerry Hitchens play for right after January 1957?,Gerry Hitchens,1957-01,Aston Villa F.C.
Which team did Gerry Hitchens play for right after January 1967?,Gerry Hitchens,1967-01,Cagliari Calcio
Who was the chair of ITV plc right after May 2016?,ITV plc,2016-05,Peter Bazalgette
Which position did Franz Karasek hold right after June 1972?,Franz Karasek,1972-06,Representative of the Parliamentary Assembly of the Council of Europe
Which position did Franz Karasek hold right after October 1979?,Franz Karasek,1979-10,Secretary General of the Council of Europe
Which team did Cedrick Hordges play for right after January 1984?,Cedrick Hordges,1984-01,Libertas Livorno
Which team did Cedrick Hordges play for right after January 1985?,Cedrick Hordges,1985-01,Pallacanestro Pavia
Which team did Cedrick Hordges play for right after January 1988?,Cedrick Hordges,1988-01,Fortitudo Pallacanestro Bologna
Which team did Cedrick Hordges play for right after January 1991?,Cedrick Hordges,1991-01,Estudiantes de Bahía Blanca
Which team did Rafael Mea Vitali play for right after January 2002?,Rafael Mea Vitali,2002-01,SV Waldhof Mannheim
Which team did Rafael Mea Vitali play for right after January 2003?,Rafael Mea Vitali,2003-01,Sportfreunde Siegen
Which team did Rafael Mea Vitali play for right after January 2012?,Rafael Mea Vitali,2012-01,Atlético Venezuela
Which employer did Leonard Jimmie Savage work for right after January 1943?,Leonard Jimmie Savage,1943-01,Brown University
Which employer did Leonard Jimmie Savage work for right after January 1944?,Leonard Jimmie Savage,1944-01,Columbia University
Which employer did Leonard Jimmie Savage work for right after January 1946?,Leonard Jimmie Savage,1946-01,University of Chicago
Which employer did Leonard Jimmie Savage work for right after January 1960?,Leonard Jimmie Savage,1960-01,University of Michigan
Who was the chair of World Wide Fund for Nature right after January 1976?,World Wide Fund for Nature,1976-01,John Hugo Loudon
Who was the chair of World Wide Fund for Nature right after January 1996?,World Wide Fund for Nature,1996-01,Syed Babar Ali
Who was the chair of World Wide Fund for Nature right after January 1999?,World Wide Fund for Nature,1999-01,Ruud Lubbers
Who was the chair of World Wide Fund for Nature right after January 2000?,World Wide Fund for Nature,2000-01,Sara Morrison
Who was the chair of World Wide Fund for Nature right after January 2001?,World Wide Fund for Nature,2001-01,Emeka Anyaoku
Who was the chair of World Wide Fund for Nature right after January 2021?,World Wide Fund for Nature,2021-01,E. Neville Isdell
Which team did Ariel Rosada play for right after January 1999?,Ariel Rosada,1999-01,Chacarita Juniors
Which team did Ariel Rosada play for right after January 2003?,Ariel Rosada,2003-01,Newell's Old Boys
Which team did Ariel Rosada play for right after January 2009?,Ariel Rosada,2009-01,Boca Juniors
Which team did Ariel Rosada play for right after January 2012?,Ariel Rosada,2012-01,Villa Dálmine
Which team did Abdel Lamanje play for right after January 2015?,Abdel Lamanje,2015-01,FC Atyrau
Where was Karestan C Koenen educated right after January 1990?,Karestan C Koenen,1990-01,Teachers College
"Where was George Kemp, 1st Baron Rochdale educated right after January 1881?","George Kemp, 1st Baron Rochdale",1881-01,Shrewsbury School
"Where was George Kemp, 1st Baron Rochdale educated right after January 1884?","George Kemp, 1st Baron Rochdale",1884-01,Trinity College
Which employer did Roger Scruton work for right after January 1971?,Roger Scruton,1971-01,University of London
Which employer did Roger Scruton work for right after January 1992?,Roger Scruton,1992-01,Boston University
Which employer did Roger Scruton work for right after January 1995?,Roger Scruton,1995-01,Divine Mercy University
Which employer did Roger Scruton work for right after January 2014?,Roger Scruton,2014-01,University of Buckingham
Which political party did Ene Ergma belong to right after June 2016?,Ene Ergma,2016-06,Estonian Reform Party
Which position did Carl Christoffer Georg Andræ hold right after June 1849?,Carl Christoffer Georg Andræ,1849-06,Speaker of the Folketing
Which position did Carl Christoffer Georg Andræ hold right after August 1852?,Carl Christoffer Georg Andræ,1852-08,Finance Minister of Denmark
Which political party did Vootele Hansen belong to right after January 2018?,Vootele Hansen,2018-01,Isamaa
Who was the head of state of People's Republic of China right after April 1959?,People's Republic of China,1959-04,Liu Shaoqi
Who was the head of state of People's Republic of China right after October 1968?,People's Republic of China,1968-10,Soong Ching-ling
Who was the head of state of People's Republic of China right after July 1976?,People's Republic of China,1976-07,Ye Jianying
Who was the head of state of People's Republic of China right after June 1983?,People's Republic of China,1983-06,Li Xiannian
Who was the head of state of People's Republic of China right after March 1993?,People's Republic of China,1993-03,Jiang Zemin
Who was the head of state of People's Republic of China right after March 2003?,People's Republic of China,2003-03,Hu Jintao
Who was the head of Chicago right after January 1838?,Chicago,1838-01,Buckner Stith Morris
Who was the head of Chicago right after January 1839?,Chicago,1839-01,Alexander Loyd
Who was the head of Chicago right after January 1841?,Chicago,1841-01,Benjamin Wright Raymond
Who was the head of Chicago right after January 1843?,Chicago,1843-01,Alson Sherman
Who was the head of Chicago right after January 1846?,Chicago,1846-01,John Putnam Chapin
Who was the head of Chicago right after January 1850?,Chicago,1850-01,Walter Smith Gurnee
Who was the head of Chicago right after January 1853?,Chicago,1853-01,Charles McNeill Gray
Who was the head of Chicago right after January 1854?,Chicago,1854-01,Isaac Lawrence Milliken
Who was the head of Chicago right after January 1855?,Chicago,1855-01,Levi Day Boone
Who was the head of Chicago right after January 1856?,Chicago,1856-01,John Charles Haines
Who was the head of Chicago right after January 1860?,Chicago,1860-01,John Wentworth
Who was the head of Chicago right after January 1861?,Chicago,1861-01,Julian Sidney Rumsey
Who was the head of Chicago right after January 1862?,Chicago,1862-01,Francis Cornwall Sherman
Who was the head of Chicago right after January 1865?,Chicago,1865-01,John Blake Rice
Who was the head of Chicago right after January 1869?,Chicago,1869-01,Roswell B. Mason
Who was the head of Chicago right after December 1873?,Chicago,1873-12,Harvey Doolittle Colvin
Who was the head of Chicago right after January 1879?,Chicago,1879-01,John A. Roche
Who was the head of Chicago right after January 1889?,Chicago,1889-01,DeWitt Clinton Cregier
Who was the head of Chicago right after January 1891?,Chicago,1891-01,Hempstead Washburne
Who was the head of Chicago right after January 1895?,Chicago,1895-01,George Bell Swift
Who was the head of Chicago right after January 1897?,Chicago,1897-01,Edward Fitzsimmons Dunne
Who was the head of Chicago right after January 1907?,Chicago,1907-01,Fred A. Busse
Who was the head of Chicago right after January 1915?,Chicago,1915-01,William Emmett Dever
Who was the head of Chicago right after January 1927?,Chicago,1927-01,William Hale Thompson
Who was the head of Chicago right after January 1931?,Chicago,1931-01,Anton Cermak
Who was the head of Chicago right after March 1933?,Chicago,1933-03,Frank J. Corr
Who was the head of Chicago right after April 1933?,Chicago,1933-04,Edward Joseph Kelly
Who was the head of Chicago right after April 1947?,Chicago,1947-04,Martin H. Kennelly
Who was the head of Chicago right after December 1976?,Chicago,1976-12,Michael Anthony Bilandic
Who was the head of Chicago right after November 1987?,Chicago,1987-11,David Duvall Orr
Who was the head of Chicago right after December 1987?,Chicago,1987-12,Eugene Sawyer
Who was the head of Chicago right after April 1989?,Chicago,1989-04,Richard M. Daley
Who was the head of Chicago right after May 2019?,Chicago,2019-05,Lori Lightfoot
Which employer did Roman Badanin work for right after November 2011?,Roman Badanin,2011-11,Forbes (Russia)
Which employer did Roman Badanin work for right after August 2013?,Roman Badanin,2013-08,Interfax
Which employer did Roman Badanin work for right after January 2014?,Roman Badanin,2014-01,RBC Information Systems
"Which position did David Lindsay, 28th Earl of Crawford hold right after May 1929?","David Lindsay, 28th Earl of Crawford",1929-05,Member of the 35th Parliament of the United Kingdom
"Which position did David Lindsay, 28th Earl of Crawford hold right after October 1935?","David Lindsay, 28th Earl of Crawford",1935-10,Member of the 37th Parliament of the United Kingdom
"Which position did David Lindsay, 28th Earl of Crawford hold right after March 1940?","David Lindsay, 28th Earl of Crawford",1940-03,Member of the House of Lords
Where was Daniel Pedoe educated right after January 1930?,Daniel Pedoe,1930-01,Magdalene College
Which employer did Simon Streatfeild work for right after January 1955?,Simon Streatfeild,1955-01,Academy of St Martin in the Fields
Which employer did Jonathan Bennett work for right after January 1968?,Jonathan Bennett,1968-01,Simon Fraser University
Which employer did Jonathan Bennett work for right after January 1970?,Jonathan Bennett,1970-01,University of British Columbia
Which employer did George Barger work for right after January 1909?,George Barger,1909-01,"Goldsmiths, University of London"
Which employer did George Barger work for right after January 1913?,George Barger,1913-01,"Royal Holloway, University of London"
